amount,evidence_completeness,won,festival_season,month_sin,month_cos,day_of_week_sin,day_of_week_cos,reason_credit_not_processed,reason_duplicate_processing,reason_fraudulent,reason_processed_invalid_expired_card,reason_product_not_received,reason_product_unacceptable,reason_subscription_canceled,reason_unrecognized,pay_credit_card,pay_debit_card,pay_netbanking,pay_upi,pay_wallet
14104.26,0.32,1,1,-0.866025,0.5,-0.433884,-0.900969,0,0,0,0,1,0,0,0,0,1,0,0,0
14148.48,0.31,0,1,-0.866025,0.5,0.781831,0.62349,0,0,1,0,0,0,0,0,0,0,0,1,0
2562.96,0.35,0,0,0.5,0.866025,-0.974928,-0.222521,0,1,0,0,0,0,0,0,1,0,0,0,0
5822.92,0.29,1,0,0.5,0.866025,0.433884,-0.900969,0,0,0,0,0,0,1,0,0,0,0,1,0
14602.11,0.83,1,0,0.866025,0.5,0.781831,0.62349,0,0,0,0,0,0,1,0,1,0,0,0,0
8744.81,0.85,0,0,0.866025,0.5,-0.974928,-0.222521,0,0,0,0,1,0,0,0,1,0,0,0,0
3645.31,0.31,1,0,-0.866025,-0.5,-0.781831,0.62349,0,0,0,0,1,0,0,0,0,0,0,1,0
3300.7,0.67,1,0,-0.5,-0.866025,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0
5815.94,0.25,1,0,0.866025,-0.5,-0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
806.47,0.86,1,1,-0.866025,0.5,-0.433884,-0.900969,0,1,0,0,0,0,0,0,0,1,0,0,0
9900.49,0.95,1,0,0.866025,-0.5,-0.974928,-0.222521,0,0,0,0,1,0,0,0,0,0,0,1,0
11255.8,0.23,0,0,0.866025,0.5,0.433884,-0.900969,0,0,0,1,0,0,0,0,0,0,0,1,0
11385.58,1.0,1,0,0.5,0.866025,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0
5847.97,0.81,1,0,-0.5,-0.866025,0.974928,-0.222521,0,0,0,0,0,1,0,0,0,1,0,0,0
10289.31,0.87,0,0,-0.0,1.0,0.781831,0.62349,1,0,0,0,0,0,0,0,0,0,0,0,1
15518.95,0.49,0,1,-0.5,0.866025,0.781831,0.62349,0,0,0,0,0,0,1,0,0,0,0,1,0
7713.41,0.2,0,0,-0.0,1.0,-0.974928,-0.222521,0,0,0,0,0,1,0,0,1,0,0,0,0
13793.7,0.25,0,0,0.5,-0.866025,-0.781831,0.62349,0,0,0,0,0,1,0,0,0,0,0,1,0
5308.9,0.94,1,1,-0.866025,0.5,-0.433884,-0.900969,0,0,0,0,1,0,0,0,0,0,0,1,0
2675.36,0.83,1,1,-0.5,0.866025,-0.781831,0.62349,0,0,0,0,1,0,0,0,0,1,0,0,0
14870.49,0.65,0,1,-0.5,0.866025,0.781831,0.62349,0,0,0,0,1,0,0,0,1,0,0,0,0
6881.99,0.7,0,0,-0.866025,-0.5,0.781831,0.62349,1,0,0,0,0,0,0,0,0,0,0,1,0
306.42,0.12,0,0,0.866025,-0.5,0.974928,-0.222521,0,1,0,0,0,0,0,0,0,0,0,1,0
3722.47,0.91,1,0,-0.866025,-0.5,-0.433884,-0.900969,0,0,1,0,0,0,0,0,0,0,0,1,0
7195.53,0.22,0,0,-1.0,-0.0,0.433884,-0.900969,0,0,0,1,0,0,0,0,0,0,0,1,0
7111.97,0.19,0,0,-0.0,1.0,-0.974928,-0.222521,0,0,0,0,0,0,0,1,0,0,0,1,0
3035.53,0.76,1,0,-0.5,-0.866025,0.433884,-0.900969,0,0,0,0,1,0,0,0,0,0,0,1,0
16496.84,0.52,1,1,-0.5,0.866025,0.781831,0.62349,0,0,0,0,0,0,0,1,0,0,0,1,0
11352.77,0.59,1,0,-0.5,-0.866025,0.781831,0.62349,0,0,1,0,0,0,0,0,0,1,0,0,0
2636.63,0.53,0,0,0.866025,-0.5,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0
14368.3,0.81,1,0,-0.866025,-0.5,0.781831,0.62349,0,0,0,0,0,0,0,1,0,0,0,1,0
10892.45,0.37,0,1,-0.5,0.866025,-0.974928,-0.222521,0,0,0,1,0,0,0,0,0,0,0,1,0
14419.53,0.55,1,0,-0.5,-0.866025,0.781831,0.62349,0,0,1,0,0,0,0,0,1,0,0,0,0
